president,year,party,china_sentiment,china_mention_count
Abraham Lincoln,1861,Republican,0.1658333333333333,2
Abraham Lincoln,1862,Republican,0.2,1
Abraham Lincoln,1863,Republican,-0.0305555555555555,1
Abraham Lincoln,1864,Republican,0.102797619047619,2
Andrew Jackson,1831,Democratic,-0.25,1
Andrew Johnson,1865,Republican,0.2916666666666667,1
Andrew Johnson,1867,Republican,0.1929870129870129,1
Andrew Johnson,1868,Republican,0.15,1
Barack Obama,2009,Democratic,0.0,1
Barack Obama,2010,Democratic,0.1257575757575757,2
Barack Obama,2011,Democratic,0.1545454545454545,4
Barack Obama,2012,Democratic,-0.0709523809523809,5
Barack Obama,2013,Democratic,0.1583333333333333,1
Barack Obama,2014,Democratic,0.1704545454545454,2
Barack Obama,2015,Democratic,0.125,4
Barack Obama,2016,Democratic,0.1361111111111111,3
Benjamin Harrison,1889,Republican,0.1719897959183673,5
Benjamin Harrison,1890,Republican,0.095578231292517,4
Benjamin Harrison,1891,Republican,0.0344529478458049,15
Benjamin Harrison,1892,Republican,0.0134920634920634,3
Calvin Coolidge,1925,Republican,0.0875,2
Calvin Coolidge,1926,Republican,0.0120965608465608,14
Calvin Coolidge,1927,Republican,0.1,2
Calvin Coolidge,1928,Republican,0.0857142857142857,3
Chester A. Arthur,1881,Republican,0.032,6
Chester A. Arthur,1882,Republican,0.0239718614718614,5
Chester A. Arthur,1883,Republican,0.1353174603174603,8
Chester A. Arthur,1884,Republican,0.0320880819860411,7
Donald Trump,2017,Republican,0.5,1
Donald Trump,2018,Republican,0.0,3
Donald Trump,2019,Republican,0.1303030303030303,5
Donald Trump,2020,Republican,0.1607683982683982,6
Donald Trump,2025,Republican,0.0358068783068783,6
Dwight D. Eisenhower,1953,Republican,0.0023809523809523,6
Dwight D. Eisenhower,1954,Republican,0.325,4
Dwight D. Eisenhower,1955,Republican,0.0838068181818181,2
Dwight D. Eisenhower,1956,Republican,0.0236111111111111,2
Dwight D. Eisenhower,1959,Republican,0.5428571428571429,1
Dwight D. Eisenhower,1961,Republican,-0.0234375,5
Franklin D. Roosevelt,1941,Democratic,-0.0916666666666666,1
Franklin D. Roosevelt,1942,Democratic,0.1209722222222222,5
Franklin D. Roosevelt,1943,Democratic,0.1047222222222222,6
Franklin D. Roosevelt,1944,Democratic,0.2410714285714285,1
Franklin D. Roosevelt,1945,Democratic,0.3296198979591836,13
Franklin Pierce,1853,Democratic,0.1374999999999999,2
George Bush,1989,Republican,-0.1,2
George W. Bush,2002,Republican,0.0,1
George W. Bush,2003,Republican,0.15,1
George W. Bush,2006,Republican,0.0681818181818181,1
George W. Bush,2007,Republican,0.4,1
George W. Bush,2008,Republican,0.2739393939393939,1
Gerald R. Ford,1975,Republican,0.184090909090909,1
Gerald R. Ford,1976,Republican,0.1666666666666666,1
Gerald R. Ford,1977,Republican,0.15,1
Grover Cleveland,1885,Democratic,0.0775958994708994,14
Grover Cleveland,1886,Democratic,0.1974702380952381,6
Grover Cleveland,1888,Democratic,0.1147959183673469,6
Grover Cleveland,1893,Democratic,0.1636607142857143,4
Grover Cleveland,1894,Democratic,-0.0034090909090909,6
Grover Cleveland,1895,Democratic,0.0907236067503924,9
Harry S Truman,1946,Democratic,0.0670833333333333,4
Harry S Truman,1948,Democratic,0.3571428571428571,1
Harry S Truman,1951,Democratic,0.375,2
Harry S Truman,1952,Democratic,-0.0181818181818181,1
Harry S Truman,1953,Democratic,0.0762755102040816,8
Herbert Hoover,1929,Republican,-0.025,2
Herbert Hoover,1931,Republican,0.8,2
James Buchanan,1857,Democratic,0.1953373015873016,6
James Buchanan,1858,Democratic,0.1122333333333333,5
James Buchanan,1859,Democratic,0.1311111111111111,10
James Buchanan,1860,Democratic,0.1549603174603174,8
James K. Polk,1845,Democratic,-0.0154761904761904,2
James K. Polk,1847,Democratic,0.020679012345679,11
James K. Polk,1848,Democratic,0.3041666666666666,2
Jimmy Carter,1978,Democratic,0.0,1
Jimmy Carter,1979,Democratic,0.1547808441558441,10
Jimmy Carter,1980,Democratic,0.0529292235542235,17
Jimmy Carter,1981,Democratic,0.063033570866363,10
John F. Kennedy,1961,Democratic,0.18125,2
John F. Kennedy,1962,Democratic,0.0645454545454545,1
John F. Kennedy,1963,Democratic,-0.25,3
John Quincy Adams,1825,Democratic-Republican,0.55,1
John Tyler,1843,Whig,0.2625,3
John Tyler,1844,Whig,0.0999999999999999,1
Joseph Biden,2021,Democratic,0.1157440476190476,5
Joseph Biden,2022,Democratic,0.1447916666666666,4
Lyndon B. Johnson,1966,Democratic,-0.0833333333333333,1
Lyndon B. Johnson,1967,Democratic,0.2625,3
Lyndon B. Johnson,1968,Democratic,-0.3666666666666667,2
Martin Van Buren,1838,Democratic,0.0992424242424242,1
Martin Van Buren,1840,Democratic,-0.0795454545454545,1
Millard Fillmore,1851,Whig,0.0819444444444444,3
Millard Fillmore,1852,Whig,0.2333333333333333,2
Richard M. Nixon,1970,Republican,0.0,1
Richard M. Nixon,1972,Republican,0.0416666666666666,2
