Publication Type,Short PubTitle,Publication Title,Year,President ,Party,Intelligence Leader,Role,Full Text
Older Intelligence Products (1999-2015),1996LOS.pdf,1996: Law of the Sea: The End Game,1996,Bill Clinton,Democratic,John M. Deutch,Director of Central Intelligence (DCI),
Global Trends,1997GlobalTrends.pdf,Global Trends 2010,1997,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),1999EnvironmentalRussia.pdf,1999: Environmental Outlook in Russia,1999,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),1999Federalism.pdf,1999: Federalism in Russia: How Is It Working?,1999,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),1999NICBuckRogers.pdf,1999: Buck Rogers or Rock Throwers?,1999,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),1999NICChinaWMD.pdf,2000: China and Weapons of Mass Destruction: Implications for the United States,1999,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),1999NICChineseLeadership.pdf,1999: Recent Chinese Leadership Priorities and Their Implications to the United States,1999,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),1999NICNortheastAsia.pdf,1999: Northeast Asia: Static but Stable,1999,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2000GlobalInfectiousDisease.pdf,2000: The Global Infectious Disease Threat and Its Implications for the United States,2000,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Global Trends,2000GlobalTrends.pdf,Global Trends 2015: A Dialogue About the Future With Nongovernment Experts,2000,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2000NICCentralAsia.pdf,"2000: Central Asia and South Caucasus: Reorientation's, Internal Transition, and Strategic Dynamics",2000,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2000NICEastAsia.pdf,2000: East Asia and the US: Current Status and Five-Year Outlook,2000,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2000NICRussiaPhysical.pdf,2000: Russia's Physical and Social Infrastructure: Implications for Future Development,2000,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
Older Intelligence Products (1999-2015),2000NICWTO.pdf,2000: Prospects for WTO Trade Negotiations After Seattle: Foreign Strategies and Perspectives,2000,Bill Clinton,Democratic,George Tenet,Director of Central Intelligence (DCI),
