president,year,party,sentence,sentiment
John Quincy Adams,1825,Democratic-Republican,But an unsettled coast of many degrees of latitude forming a part of our own territory and a flourishing commerce and fishery extending to the islands of the Pacific and to China still require that the protecting power of the Union should be displayed under its flag as well upon the ocean as upon the land.,0.55
Andrew Jackson,1831,Democratic,"To China and the East Indies our commerce continues in its usual extent, and with increased facilities which the credit and capital of our merchants afford by substituting bills for payments in specie.",-0.25
Martin Van Buren,1838,Democratic,"The unsettled state of a portion of South America renders it indispensable that our commerce should receive protection in that quarter; the vast and increasing interests embarked in the trade of the Indian and China seas, in the whale fisheries of the Pacific Ocean, and in the Gulf of Mexico require equal attention to their safety, and a small squadron may be employed to great advantage on our Atlantic coast in meeting sudden demands for the reenforcement of other stations, in aiding merchant vessels in distress, in affording active service to an additional number of officers, and in visiting the different ports of the United States, an accurate knowledge of which is obviously of the highest importance.",0.09924242424242426
Martin Van Buren,1840,Democratic,"A small squadron, consisting of the frigate Constellation and the sloop of war Boston, under Commodore Kearney, is now on its way to the China and Indian seas for the purpose of attending to our interests in that quarter, and Commander Aulick, in the sloop of war Yorktown, has been instructed to visit the Sandwich and Society islands, the coasts of New Zealand and Japan, together with other ports and islands frequented by our whale ships, for the purpose of giving them countenance and protection should they be required.",-0.07954545454545454
John Tyler,1843,Whig,"Under the provisions of an act of Congress of the last session a minister was dispatched from the United States to China in August of the present year, who, from the latest accounts we have from him, was at Suez, in Egypt, on the 25th of September last, on his route to China.",0.125
John Tyler,1843,Whig,"It gives me great pain to announce to you the loss of the steamship the Missouri by fire in the Bay of Gibraltar, where she had stopped to renew her supplies of coal on her voyage to Alexandria, with Mr. Cushing, the American minister to China, on board.",0.4
John Tyler,1844,Whig,"No definitive intelligence has yet been received from our minister of the conclusion of a treaty with the Chinese Empire, but enough is known to induce the strongest hopes that the mission will be crowned with success.",0.09999999999999999
James K. Polk,1845,Democratic,The commissioner appointed to China during the special session of the Senate in March last shortly afterwards set out on his mission in the United States ship Columbus.,0.11904761904761905
James K. Polk,1845,Democratic,"Commodore Biddle, commanding the East India Squadron, proceeded on his voyage in the Columbus, and was charged by the commissioner with the duty of exchanging with the proper authorities the ratifications of the treaty lately concluded with the Emperor of China.",-0.15
James K. Polk,1847,Democratic,"The Bay of San Francisco and other harbors along the Californian coast would afford shelter for our Navy, for our numerous whale ships, and other merchant vessels employed in the Pacific Ocean, and would in a short period become the marts of an extensive and profitable commerce with China and other countries of the East.",-0.0625
James K. Polk,1847,Democratic,I invite the early attention of Congress to the present condition of our citizens in China.,0.05
James K. Polk,1847,Democratic,"Under our treaty with that power American citizens are withdrawn from the jurisdiction, whether civil or criminal, of the Chinese Government and placed under that of our public functionaries in that country.",-0.1
James K. Polk,1847,Democratic,The merchant vessels of the United States lying in the waters of the five ports of China open to foreign commerce are under the exclusive jurisdiction of officers of their own Government.,0.15833333333333333
James K. Polk,1847,Democratic,"Until Congress shall establish competent tribunals to try and punish crimes and to exercise jurisdiction in civil cases in China, American citizens there are subject to no law whatever.",0.11111111111111112
James K. Polk,1847,Democratic,"The British authorities in China have already complained that this Government has not provided for the punishment of crimes or the enforcement of contracts against American citizens in that country, whilst their Government has established tribunals by which an American citizen can recover debts due from British subjects.",-0.07083333333333333
James K. Polk,1847,Democratic,"Accustomed, as the Chinese are, to summary justice, they could not be made to comprehend why criminals who are citizens of the United States should escape with impunity, in violation of treaty obligations, whilst the punishment of a Chinese who had committed any crime against an American citizen would be rigorously exacted.",0.0
James K. Polk,1847,Democratic,"Indeed, the consequences might be fatal to American citizens in China should a flagrant crime be committed by any one of them upon a Chinese, and should trial and punishment not follow according to the requisitions of the treaty.",0.0
James K. Polk,1847,Democratic,"Our treaties with the Sublime Porte, Tripoli, Tunis, Morocco, and Muscat also require the legislation of Congress to carry them into execution, though the necessity for immediate action may not be so urgent as in regard to China.",0.1
James K. Polk,1848,Democratic,"From its position it must command the rich commerce of China, of Asia, of the islands of the Pacific, of western Mexico, of Central America, the South American States, and of the Russian possessions bordering on that ocean.",0.075
James K. Polk,1848,Democratic,It is well known to our merchants trading to China and the west coast of America that great inconvenience and loss are experienced from the fact that our coins are not current at their par value in those countries.,0.5333333333333333
Millard Fillmore,1851,Whig,The office of commissioner to China remains unfilled.,0.0
Millard Fillmore,1851,Whig,"Our commerce with China is highly important, and is becoming more and more so in consequence of the increasing intercourse between our ports on the Pacific Coast and eastern Asia.",0.4625
Millard Fillmore,1851,Whig,"China is understood to be a country in which living is very expensive, and I know of no reason why the American commissioner sent thither should not be placed, in regard to compensation, on an equal footing with ministers who represent this country at the Courts of Europe.",-0.21666666666666667
Millard Fillmore,1852,Whig,"Should it be crowned with success, the advantages will not be confined to the United States, but, as in the case of China, will be equally enjoyed by all the other maritime powers.",0.225
Millard Fillmore,1852,Whig,"The preparations for the Japan expedition, to which I have already alluded; the arrangements made for the exploration and survey of the China Seas, the Northern Pacific, and Behrings Straits; the incipient measures taken toward a reconnoissance of the continent of Africa eastward of Liberia; the preparation for an early examination of the tributaries of the river La Plata, which a recent decree of the provisional chief of the Argentine Confederation has opened to navigation--all these enterprises and the means by which they are proposed to be accomplished have commanded my full approbation, and I have no doubt will be productive of most useful results.",0.24166666666666667
Franklin Pierce,1853,Democratic,The condition of China at this time renders it probable that some important changes will occur in that vast Empire which will lead to a more unrestricted intercourse with it.,0.3
